Areas_disc_A,Ratios_disc_A
26.0,1.1393754482269287
26.0,1.1393754482269287
19.0,1.6660534143447876
26.0,1.267645001411438
24.0,1.3544728755950928
26.0,1.1393754482269287
26.0,1.3695652484893799
16.0,1.5
21.0,1.6866085529327393
23.0,1.3363779783248901
25.0,1.1773912906646729
13.0,1.377622365951538
27.0,1.2752385139465332
21.0,1.2583587169647217
16.0,1.5
27.0,1.2752385139465332
23.0,1.172948956489563
16.0,1.5
20.0,1.017187476158142
25.0,1.3091639280319214
25.0,1.1773912906646729
26.0,1.1393754482269287
20.0,2.0433545112609863
30.0,1.1140741109848022
23.0,1.1368300914764404
24.0,1.1952191591262817
15.0,1.2931034564971924
19.0,1.1840587854385376
29.0,1.1643985509872437
24.0,1.5448756217956543
30.0,1.1325000524520874
21.0,1.2583587169647217
22.0,1.405898928642273
20.0,1.600000023841858
25.0,1.1773912906646729
26.0,1.1393754482269287
22.0,1.0666667222976685
26.0,1.1393754482269287
26.0,1.1393754482269287
22.0,1.860805869102478
20.0,1.600000023841858
18.0,1.5176151990890503
25.0,1.330625057220459
15.0,1.2931034564971924
16.0,1.3419917821884155
28.0,1.2909090518951416
20.0,1.600000023841858
27.0,1.2752385139465332
20.0,1.225000023841858
22.0,1.405898928642273
20.0,1.0819672346115112
26.0,1.1393754482269287
30.0,1.1140741109848022
25.0,1.330625057220459
30.0,1.2698413133621216
26.0,1.1393754482269287
18.0,1.5176151990890503
25.0,1.3091639280319214
30.0,1.1325000524520874
26.0,1.1393754482269287
25.0,1.1773912906646729
26.0,1.1393754482269287
21.0,1.292307734489441
26.0,1.1393754482269287
27.0,1.2752385139465332
30.0,1.2698413133621216
27.0,1.2752385139465332
26.0,1.1393754482269287
17.0,1.6442092657089233
30.0,1.1325000524520874
23.0,1.7943295240402222
16.0,1.5
24.0,1.2462555170059204
18.0,1.5176151990890503
17.0,1.6442092657089233
25.0,1.3091639280319214
24.0,1.2390073537826538
22.0,1.405898928642273
20.0,1.057692289352417
16.0,1.5
28.0,1.13568115234375
25.0,1.1773912906646729
22.0,1.405898928642273
22.0,1.5662784576416016
16.0,1.5
30.0,1.1325000524520874
20.0,1.600000023841858
26.0,1.1393754482269287
26.0,1.1393754482269287
18.0,1.5176151990890503
27.0,1.125617265701294
31.0,1.1231883764266968
18.0,1.5176151990890503
25.0,1.330625057220459
22.0,1.5662784576416016
27.0,1.125617265701294
16.0,1.5
26.0,1.1393754482269287
28.0,1.2909090518951416
18.0,1.4303570985794067
26.0,1.2929623126983643
30.0,1.1325000524520874
24.0,1.3544728755950928
27.0,1.2752385139465332
15.0,1.3157894611358643
24.0,1.0
25.0,1.30794358253479
28.0,1.2909090518951416
23.0,1.5565757751464844
19.0,1.866249680519104
22.0,1.405898928642273
28.0,1.2909090518951416
25.0,1.1773912906646729
22.0,1.0666667222976685
20.0,2.142857074737549
22.0,1.8514134883880615
18.0,1.5176151990890503
24.0,1.1952191591262817
18.0,1.5176151990890503
22.0,1.405898928642273
31.0,1.1231883764266968
29.0,1.2354216575622559
27.0,1.125617265701294
27.0,1.2752385139465332
25.0,1.1773912906646729
25.0,1.3091639280319214
22.0,2.210338592529297
18.0,1.3125910758972168
25.0,1.3091639280319214
28.0,1.037647008895874
23.0,1.8172411918640137
16.0,1.5
15.0,1.3157894611358643
24.0,1.1952191591262817
19.0,1.1840587854385376
26.0,1.16641104221344
25.0,1.3091639280319214
17.0,1.189542531967163
24.0,1.5448756217956543
32.0,1.0
29.0,1.2354216575622559
21.0,1.2583587169647217
18.0,1.5176151990890503
27.0,1.1665773391723633
22.0,1.0666667222976685
23.0,1.3363779783248901
26.0,1.1393754482269287
26.0,1.0121428966522217
26.0,1.3695652484893799
26.0,1.1393754482269287
17.0,1.6442092657089233
25.0,1.1773912906646729
21.0,1.2583587169647217
24.0,1.3551278114318848
22.0,1.405898928642273
24.0,1.0
31.0,1.1231883764266968
16.0,1.5
18.0,1.5176151990890503
28.0,1.2807773351669312
20.0,1.057692289352417
27.0,1.2752385139465332
22.0,1.3939393758773804
26.0,1.3695652484893799
