Areas_C,Ratios_C
3.0,3.0
6.0,2.6666667461395264
2.0,10.0
8.0,6.400000095367432
6.0,2.6666667461395264
6.0,2.6666667461395264
7.0,1.1666666269302368
7.0,1.1666666269302368
23.0,10.0
8.0,1.600000023841858
5.0,3.0
6.0,2.6666667461395264
6.0,4.125
9.0,1.9321873188018799
7.0,4.755712985992432
2.0,10.0
4.0,1.0
2.0,10.0
4.0,6.0
3.0,3.0
6.0,2.6666667461395264
2.0,10.0
7.0,1.1666666269302368
4.0,1.0
8.0,3.6363637447357178
3.0,3.0
6.0,2.6666667461395264
3.0,3.0
2.0,10.0
4.0,1.0
3.0,3.0
6.0,2.6666667461395264
11.0,2.2660958766937256
4.0,1.0
8.0,1.600000023841858
2.0,10.0
2.0,10.0
5.0,3.0
7.0,2.12017822265625
7.0,1.1666666269302368
3.0,3.0
2.0,10.0
8.0,1.600000023841858
13.0,6.09451961517334
7.0,6.439957618713379
7.0,1.1666666269302368
7.0,1.1666666269302368
9.0,2.6194634437561035
5.0,3.0
17.0,10.0
2.0,10.0
12.0,4.285841464996338
10.0,1.600000023841858
5.0,3.0
4.0,1.0
5.0,3.0
5.0,3.0
3.0,3.0
12.0,7.033639430999756
3.0,3.0
2.0,10.0
2.0,10.0
4.0,1.0
8.0,1.5
5.0,3.0
11.0,10.0
2.0,10.0
7.0,4.755712985992432
15.0,10.0
3.0,3.0
3.0,3.0
17.0,3.9513018131256104
4.0,1.0
5.0,3.0
3.0,3.0
3.0,3.0
9.0,9.08570384979248
9.0,1.0
3.0,3.0
3.0,3.0
5.0,3.0
4.0,1.0
3.0,3.0
11.0,2.007598876953125
2.0,10.0
4.0,1.0
10.0,10.0
3.0,3.0
7.0,1.1666666269302368
4.0,6.0
3.0,3.0
5.0,3.0
7.0,2.100879669189453
4.0,1.0
10.0,4.558873176574707
5.0,3.0
9.0,1.9321873188018799
4.0,1.0
2.0,10.0
2.0,10.0
10.0,1.600000023841858
3.0,3.0
6.0,2.6666667461395264
3.0,3.0
5.0,3.0
4.0,1.0
4.0,1.0
4.0,1.0
4.0,1.0
8.0,1.600000023841858
2.0,10.0
6.0,2.6666667461395264
6.0,2.6666667461395264
5.0,3.0
12.0,1.875
2.0,10.0
13.0,5.969372749328613
9.0,1.0
4.0,1.0
5.0,1.0
10.0,2.6666667461395264
6.0,2.6666667461395264
2.0,10.0
2.0,10.0
3.0,10.0
3.0,3.0
4.0,1.0
4.0,1.0
4.0,1.0
3.0,3.0
4.0,1.0
2.0,10.0
14.0,1.888198733329773
17.0,3.1537344455718994
2.0,10.0
16.0,1.61589777469635
5.0,3.0
9.0,1.0
3.0,3.0
6.0,2.6666667461395264
8.0,4.927255630493164
2.0,10.0
6.0,1.8333333730697632
6.0,2.6666667461395264
4.0,1.0
2.0,10.0
4.0,1.0
7.0,7.388463497161865
2.0,10.0
6.0,1.8333333730697632
9.0,1.9321873188018799
4.0,1.0
9.0,3.857142925262451
4.0,2.6666667461395264
2.0,10.0
2.0,10.0
2.0,10.0
4.0,1.0
5.0,1.0
2.0,10.0
4.0,1.0
2.0,10.0
4.0,1.0
3.0,3.0
22.0,7.627918720245361
4.0,1.0
2.0,10.0
7.0,4.755712985992432
13.0,1.377622365951538
10.0,1.875
4.0,1.0
2.0,10.0
15.0,10.0
11.0,2.2660958766937256
4.0,1.0
4.0,1.0
4.0,1.0
2.0,10.0
4.0,1.0
2.0,10.0
4.0,1.0
4.0,1.0
2.0,10.0
4.0,2.6666667461395264
8.0,7.669615268707275
6.0,2.6666667461395264
9.0,1.0
5.0,3.0
2.0,10.0
4.0,1.0
4.0,1.0
4.0,1.0
6.0,2.6666667461395264
3.0,3.0
16.0,2.779097080230713
3.0,3.0
4.0,1.0
5.0,3.0
2.0,10.0
4.0,2.6666667461395264
6.0,2.6666667461395264
4.0,6.85410213470459
4.0,1.0
7.0,1.1666666269302368
11.0,2.007598876953125
3.0,3.0
9.0,1.9321873188018799
10.0,6.649770259857178
2.0,10.0
4.0,1.0
5.0,3.0
3.0,3.0
3.0,3.0
5.0,3.0
3.0,3.0
4.0,1.0
2.0,10.0
11.0,1.3296703100204468
2.0,10.0
4.0,1.0
11.0,10.0
11.0,1.3296703100204468
2.0,10.0
4.0,1.0
2.0,10.0
4.0,1.0
4.0,1.0
2.0,10.0
8.0,2.9412596225738525
8.0,10.0
4.0,1.0
9.0,10.0
27.0,10.0
4.0,2.6666667461395264
2.0,10.0
13.0,3.5714285373687744
7.0,4.755712985992432
2.0,10.0
2.0,10.0
3.0,3.0
7.0,3.0
7.0,1.1666666269302368
9.0,1.0
7.0,1.1666666269302368
3.0,3.0
3.0,3.0
4.0,1.0
4.0,1.0
7.0,1.1666666269302368
6.0,2.6666667461395264
4.0,1.0
4.0,1.0
2.0,10.0
4.0,1.0
7.0,1.1666666269302368
9.0,1.0
4.0,1.0
21.0,10.0
3.0,3.0
6.0,1.8333333730697632
20.0,10.0
9.0,1.9321873188018799
3.0,3.0
7.0,1.1666666269302368
2.0,10.0
8.0,1.600000023841858
6.0,2.6666667461395264
