pico_step,pico_rad,pico_deg,pico_seg,pico_ev,pico_t,pico_r,pico_step_err,pico_rad_err,pico_deg_err,pico_ev_err,pico_r_err
-16,-0.25132741228718347,-14.4,1,10,1869.4500000476837,19.257000721646342,0.05,0.0007853981633974483,0.045000000000000005,3.1622776601683795,6.089598318390859
-15,-0.23561944901923448,-13.5,1,19,1854.469999551773,36.8838536166842,0.05,0.0007853981633974483,0.045000000000000005,4.358898943540674,8.46173634544598
-14,-0.2199114857512855,-12.6,1,410,1806.770000219345,816.9274450100517,0.05,0.0007853981633974483,0.045000000000000005,20.248456731316587,40.345170787587904
-13,-0.20420352248333656,-11.700000000000001,1,1548,1800.0200011730194,3095.9655983646694,0.05,0.0007853981633974483,0.045000000000000005,39.344631145812,78.68838792492318
-12,-0.18849555921538758,-10.8,100,5700,1829.8099999427795,11214.27907850634,0.05,0.0007853981633974483,0.045000000000000005,75.49834435270749,148.5367550063921
-11,-0.17278759594743864,-9.9,100,8200,1811.3399999141693,16297.326841674565,0.05,0.0007853981633974483,0.045000000000000005,90.55385138137417,179.97386740666815
-10,-0.15707963267948966,-9.0,100,11000,1801.7900018692017,21978.143934042488,0.05,0.0007853981633974483,0.045000000000000005,104.88088481701516,209.55338022164463
-9,-0.14137166941154067,-8.1,100,13800,1806.259999036789,27504.34601136741,0.05,0.0007853981633974483,0.045000000000000005,117.4734012447073,234.13254166424844
-8,-0.12566370614359174,-7.2,100,16500,1801.0699996948242,32980.394993012385,0.05,0.0007853981633974483,0.045000000000000005,128.4523257866513,256.7520268009012
-7,-0.10995574287564275,-6.3,100,19400,1808.079999446869,38626.60945387681,0.05,0.0007853981633974483,0.045000000000000005,139.2838827718412,277.32289397151914
-6,-0.09424777960769379,-5.4,100,20000,1646.8900010585785,43718.76685979043,0.05,0.0007853981633974483,0.045000000000000005,141.4213562373095,309.13836511671514
-5,-0.07853981633974483,-4.5,100,20000,1475.8700013160706,48784.784524243856,0.05,0.0007853981633974483,0.045000000000000005,141.4213562373095,344.96051955817376
-4,-0.06283185307179587,-3.6,100,20000,1357.000001192093,53058.216607774266,0.05,0.0007853981633974483,0.045000000000000005,141.4213562373095,375.1782476102188
-3,-0.047123889803846894,-2.7,100,20000,1239.810001373291,58073.41441047281,0.05,0.0007853981633974483,0.045000000000000005,141.4213562373095,410.64105136301896
-2,-0.031415926535897934,-1.8,100,20000,1153.1799983978271,62436.04649754014,0.05,0.0007853981633974483,0.045000000000000005,141.4213562373095,441.48951868889225
-1,-0.015707963267948967,-0.9,100,20000,1104.8199999332428,65168.98680721791,0.05,0.0007853981633974483,0.045000000000000005,141.4213562373095,460.81432494440446
0,0.0,0.0,100,20000,1100.3599998950958,65433.13098155532,0.05,0.0007853981633974483,0.045000000000000005,141.4213562373095,462.6821063132534
1,0.015707963267948967,0.9,100,20000,1112.869999408722,64697.5837593378,0.05,0.0007853981633974483,0.045000000000000005,141.4213562373095,457.48100202612414
2,0.031415926535897934,1.8,100,20000,1129.659999847412,63735.991368841365,0.05,0.0007853981633974483,0.045000000000000005,141.4213562373095,450.68151702554997
3,0.047123889803846894,2.7,100,20000,1211.9300010204315,59409.3717783839,0.05,0.0007853981633974483,0.045000000000000005,141.4213562373095,420.0876965052796
4,0.06283185307179587,3.6,100,20000,1280.9699981212616,56207.40540808841,0.05,0.0007853981633974483,0.045000000000000005,141.4213562373095,397.4463751696074
5,0.07853981633974483,4.5,100,20000,1410.0099987983704,51063.467678498295,0.05,0.0007853981633974483,0.045000000000000005,141.4213562373095,361.07324266366237
6,0.09424777960769379,5.4,100,20000,1606.4400007724762,44819.60108399811,0.05,0.0007853981633974483,0.045000000000000005,141.4213562373095,316.92243856571
7,0.10995574287564275,6.3,100,19700,1803.9900016784668,39312.856464844415,0.05,0.0007853981633974483,0.045000000000000005,140.356688476182,280.0925049718287
8,0.12566370614359174,7.2,100,17200,1807.6100006103516,34255.176713501416,0.05,0.0007853981633974483,0.045000000000000005,131.14877048604,261.1932737649849
9,0.14137166941154067,8.1,100,14300,1800.42999958992,28593.169416042547,0.05,0.0007853981633974483,0.045000000000000005,119.58260743101398,239.10809464944694
10,0.15707963267948966,9.0,100,11900,1805.9799983501434,23721.19294739508,0.05,0.0007853981633974483,0.045000000000000005,109.08712114635715,217.45181922593278
11,0.17278759594743864,9.9,100,9400,1803.719999551773,18761.22680261309,0.05,0.0007853981633974483,0.045000000000000005,96.95359714832658,193.50727930095073
12,0.18849555921538758,10.8,100,7000,1811.3000004291534,13912.659412592797,0.05,0.0007853981633974483,0.045000000000000005,83.66600265340756,166.2880856185635
13,0.20420352248333656,11.700000000000001,100,4400,1812.5700001716614,8738.972838842006,0.05,0.0007853981633974483,0.045000000000000005,66.332495807108,131.7449725433905
14,0.2199114857512855,12.6,100,2000,1815.0299997329712,3966.8765811359985,0.05,0.0007853981633974483,0.045000000000000005,44.721359549995796,88.70205693772053
15,0.23561944901923448,13.5,100,700,2048.8099999427795,1229.9822824324267,0.05,0.0007853981633974483,0.045000000000000005,26.457513110645905,46.48896051902586
16,0.25132741228718347,14.4,100,200,1800.0,400.0,0.05,0.0007853981633974483,0.045000000000000005,14.142135623730951,28.284271247461902
17,0.2670353755551324,15.3,1,11,1936.0999999046326,20.453488973684518,0.05,0.0007853981633974483,0.045000000000000005,3.3166247903554,6.166958961762082
