pico_step,pico_rad,pico_deg,pico_seg,pico_step_err,pico_rad_err,pico_deg_err,pico_ev,pico_t,pico_r,pico_ev_err,pico_r_err
-50,-0.7853981633974483,-45.0,1,0.05,0.0007853981633974483,0.045000000000000005,29,130222.8299999237,0.8017027429066098,5.385164807134504,0.14887246196151296
-40,-0.6283185307179586,-36.0,1,0.05,0.0007853981633974483,0.045000000000000005,53,86573.67000079155,2.20390333456183,7.280109889280518,0.3027294049238093
-35,-0.5497787143782138,-31.5,1,0.05,0.0007853981633974483,0.045000000000000005,20,43215.729999780655,1.6660600202834812,4.47213595499958,0.37254234599485425
-30,-0.47123889803846897,-27.0,1,0.05,0.0007853981633974483,0.045000000000000005,23,19038.039999723434,4.349187206309202,4.795831523312719,0.906868221948089
-28,-0.439822971502571,-25.2,1,0.05,0.0007853981633974483,0.045000000000000005,38,19076.900000333786,7.170976416378261,6.164414002968976,1.163285985160064
-26,-0.4084070449666731,-23.400000000000002,1,0.05,0.0007853981633974483,0.045000000000000005,58,18020.560000658035,11.586765338722854,7.615773105863909,1.5214168250103728
-24,-0.37699111843077515,-21.6,1,0.05,0.0007853981633974483,0.045000000000000005,41,10878.630000114441,13.56788492654381,6.4031242374328485,2.11894762985006
-22,-0.3455751918948773,-19.8,1,0.05,0.0007853981633974483,0.045000000000000005,80,10874.529999494553,26.48390321359969,8.94427190999916,2.960990394756702
-20,-0.3141592653589793,-18.0,10,0.05,0.0007853981633974483,0.045000000000000005,80,7485.610000133514,38.473818432280495,8.94427190999916,4.301503668428179
-18,-0.28274333882308134,-16.2,10,0.05,0.0007853981633974483,0.045000000000000005,211,7208.770000219345,105.3716514713172,14.52583904633395,7.254083646060434
-16,-0.25132741228718347,-14.4,100,0.05,0.0007853981633974483,0.045000000000000005,1122,7329.900000095367,551.0579953270095,33.49626844888845,16.451324904081844
-14,-0.2199114857512855,-12.6,100,0.05,0.0007853981633974483,0.045000000000000005,8842,7276.810000181198,4374.334357940826,94.03190947758107,46.51968020476865
-12,-0.18849555921538758,-10.8,100,0.05,0.0007853981633974483,0.045000000000000005,24809,7210.950000524521,12385.663469238238,157.50872991678906,78.63477456634634
-10,-0.15707963267948966,-9.0,100,0.05,0.0007853981633974483,0.045000000000000005,23188,3602.3799979686737,23172.68029665701,152.27606509231842,152.17546029054802
-8,-0.12566370614359174,-7.2,100,0.05,0.0007853981633974483,0.045000000000000005,33333,3600.950002670288,33324.20608756433,182.573272961844,182.52510647891356
-6,-0.09424777960769379,-5.4,100,0.05,0.0007853981633974483,0.045000000000000005,43753,3605.4099984169006,43687.347644002046,209.1721778822413,208.85831034659364
-4,-0.06283185307179587,-3.6,100,0.05,0.0007853981633974483,0.045000000000000005,49671,3364.659998655319,53145.221232297874,222.86991721629906,238.45847791435898
-2,-0.031415926535897934,-1.8,100,0.05,0.0007853981633974483,0.045000000000000005,49633,2981.7600016593933,59923.93750689613,222.78464938141497,268.97695901975857
0,0.0,0.0,100,0.05,0.0007853981633974483,0.045000000000000005,49625,2825.2999982833862,63232.22316516664,222.76669409945464,283.8495378350252
2,0.031415926535897934,1.8,100,0.05,0.0007853981633974483,0.045000000000000005,49659,2981.39000082016,59962.769027474074,222.8429940563535,269.080790631948
4,0.06283185307179587,3.6,100,0.05,0.0007853981633974483,0.045000000000000005,49616,3447.739998817444,51807.154849630446,222.74649267721367,232.58348190786202
6,0.09424777960769379,5.4,100,0.05,0.0007853981633974483,0.045000000000000005,42199,3607.099997520447,42115.93804009556,205.42395186540443,205.0196077801594
8,0.12566370614359174,7.2,100,0.05,0.0007853981633974483,0.045000000000000005,31966,3602.909998893738,31940.181696277235,178.79038005440896,178.64597461316035
10,0.15707963267948966,9.0,100,0.05,0.0007853981633974483,0.045000000000000005,21595,3611.570001602173,21525.818401834083,146.95237323704575,146.4815975929238
12,0.18849555921538758,10.8,100,0.05,0.0007853981633974483,0.045000000000000005,24607,7210.120000362396,12286.231019115843,156.86618501130192,78.32300516666892
14,0.2199114857512855,12.6,100,0.05,0.0007853981633974483,0.045000000000000005,8043,7233.950000762939,4002.626503769896,89.6827742657418,44.63093984926904
